,status,spc_latin,spc_common,health,count,diameter
56,Alive,Aesculus x carnea,red horse chestnut,Poor,5,12.2
57,Alive,Ailanthus altissima,tree of heaven,Fair,161,12.577639751552795
58,Alive,Ailanthus altissima,tree of heaven,Good,539,12.606679035250464
59,Alive,Ailanthus altissima,tree of heaven,Poor,56,13.464285714285714
60,Alive,Albizia julibrissin,mimosa,Fair,27,5.0
61,Alive,Albizia julibrissin,mimosa,Good,130,6.3984375
62,Alive,Albizia julibrissin,mimosa,Poor,6,7.833333333333333
63,Alive,Alnus glutinosa,European alder,Fair,14,7.285714285714286
64,Alive,Alnus glutinosa,European alder,Good,32,5.65625
65,Alive,Alnus glutinosa,European alder,Poor,1,3.0
66,Alive,Amelanchier,serviceberry,Fair,273,3.673992673992674
67,Alive,Amelanchier,serviceberry,Good,1626,3.5522755227552274
68,Alive,Amelanchier,serviceberry,Poor,133,3.308270676691729
69,Alive,Betula nigra,river birch,Fair,81,7.246913580246914
70,Alive,Betula nigra,river birch,Good,459,5.976034858387799
71,Alive,Betula nigra,river birch,Poor,25,3.4
72,Alive,Betula papyrifera,paper birch,Fair,86,4.558139534883721
73,Alive,Betula papyrifera,paper birch,Good,420,5.069047619047619
74,Alive,Betula papyrifera,paper birch,Poor,29,3.689655172413793
75,Alive,Betula pendula,silver birch,Fair,59,4.9491525423728815
76,Alive,Betula pendula,silver birch,Good,225,6.236607142857143
77,Alive,Betula pendula,silver birch,Poor,16,4.6875
78,Alive,Carpinus betulus,European hornbeam,Fair,296,4.195945945945946
79,Alive,Carpinus betulus,European hornbeam,Good,1673,4.305622009569378
80,Alive,Carpinus betulus,European hornbeam,Poor,130,3.123076923076923
81,Alive,Carpinus caroliniana,American hornbeam,Fair,203,4.822660098522167
82,Alive,Carpinus caroliniana,American hornbeam,Good,1221,5.065573770491803
83,Alive,Carpinus caroliniana,American hornbeam,Poor,93,3.3010752688172045
84,Alive,Carpinus japonica,Japanese hornbeam,Fair,62,4.161290322580645
85,Alive,Carpinus japonica,Japanese hornbeam,Good,338,4.718100890207715
86,Alive,Carpinus japonica,Japanese hornbeam,Poor,26,3.923076923076923
87,Alive,Carya glabra,pignut hickory,Fair,19,13.736842105263158
88,Alive,Carya glabra,pignut hickory,Good,76,16.039473684210527
89,Alive,Carya glabra,pignut hickory,Poor,4,11.0
90,Alive,Castanea mollissima,Chinese chestnut,Fair,21,8.0
91,Alive,Castanea mollissima,Chinese chestnut,Good,150,5.753333333333333
92,Alive,Castanea mollissima,Chinese chestnut,Poor,2,2.5
93,Alive,Catalpa,catalpa,Fair,132,13.515151515151516
94,Alive,Catalpa,catalpa,Good,372,14.766129032258064
95,Alive,Catalpa,catalpa,Poor,47,12.638297872340425
96,Alive,Cedrus atlantica,Atlas cedar,Fair,9,6.333333333333333
97,Alive,Cedrus atlantica,Atlas cedar,Good,77,5.818181818181818
98,Alive,Cedrus atlantica,Atlas cedar,Poor,1,4.0
99,Alive,Cedrus deodara,Himalayan cedar,Fair,12,5.25
100,Alive,Cedrus deodara,Himalayan cedar,Good,57,4.232142857142857
101,Alive,Cedrus deodara,Himalayan cedar,Poor,3,2.0
102,Alive,Celtis occidentalis,common hackberry,Fair,394,5.802030456852792
103,Alive,Celtis occidentalis,common hackberry,Good,1856,6.446900269541779
104,Alive,Celtis occidentalis,common hackberry,Poor,132,5.159090909090909
105,Alive,Cercidiphyllum japonicum,katsura tree,Fair,220,4.759090909090909
106,Alive,Cercidiphyllum japonicum,katsura tree,Good,581,5.223752151462995
107,Alive,Cercidiphyllum japonicum,katsura tree,Poor,110,4.581818181818182
108,Alive,Cercis canadensis,eastern redbud,Fair,594,4.7099494097807755
109,Alive,Cercis canadensis,eastern redbud,Good,2927,4.309483053748716
110,Alive,Cercis canadensis,eastern redbud,Poor,280,4.439285714285714
111,Alive,Cercis reniformis,Oklahoma redbud,Fair,35,6.142857142857143
112,Alive,Cercis reniformis,Oklahoma redbud,Good,173,4.965317919075145
113,Alive,Cercis reniformis,Oklahoma redbud,Poor,11,4.0
114,Alive,Chamaecyparis pisifera,false cypress,Fair,9,3.25
115,Alive,Chamaecyparis pisifera,false cypress,Good,97,3.4583333333333335
116,Alive,Chamaecyparis pisifera,false cypress,Poor,2,7.5
117,Alive,Chamaecyparis thyoides,Atlantic white cedar,Fair,60,7.0
118,Alive,Chamaecyparis thyoides,Atlantic white cedar,Good,263,5.752851711026616
119,Alive,Chamaecyparis thyoides,Atlantic white cedar,Poor,32,6.4375
120,Alive,Chionanthus retusus,Chinese fringetree,Fair,25,7.76
121,Alive,Chionanthus retusus,Chinese fringetree,Good,203,4.073891625615763
122,Alive,Chionanthus retusus,Chinese fringetree,Poor,6,7.5
123,Alive,Cladrastis kentukea,Kentucky yellowwood,Fair,74,3.5945945945945947
124,Alive,Cladrastis kentukea,Kentucky yellowwood,Good,371,4.606469002695418
125,Alive,Cladrastis kentukea,Kentucky yellowwood,Poor,34,3.6176470588235294
126,Alive,Cornus alternifolia,pagoda dogwood,Fair,46,4.717391304347826
127,Alive,Cornus alternifolia,pagoda dogwood,Good,219,4.739726027397261
128,Alive,Cornus alternifolia,pagoda dogwood,Poor,15,4.866666666666666
129,Alive,Cornus florida,flowering dogwood,Fair,273,5.417582417582418
130,Alive,Cornus florida,flowering dogwood,Good,1183,5.102542372881356
131,Alive,Cornus florida,flowering dogwood,Poor,96,5.072916666666667
132,Alive,Cornus kousa,kousa dogwood,Fair,51,5.78
133,Alive,Cornus kousa,kousa dogwood,Good,235,4.68936170212766
134,Alive,Cornus kousa,kousa dogwood,Poor,16,3.875
135,Alive,Cornus mas,Cornelian cherry,Fair,137,3.7153284671532845
